REGION,_REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,Globe,IN,C1_F_HEA_I,2021,-0.0
Globe,Globe,IN,C1_F_HEA_I,2022,-0.0
Globe,Globe,IN,C1_F_HEA_I,2023,-0.0
Globe,Globe,IN,C1_F_HEA_I,2024,-0.0
Globe,Globe,IN,C1_F_HEA_I,2025,-0.0
Globe,Globe,IN,C1_F_HEA_I,2026,-0.0
Globe,Globe,IN,C1_F_HEA_I,2027,-0.0
Globe,Globe,IN,C1_F_HEA_I,2028,-0.0
Globe,Globe,IN,C1_F_HEA_I,2029,-0.0
Globe,Globe,IN,C1_F_HEA_I,2030,-0.0
Globe,Globe,IN,C1_F_HEA_I,2031,-0.0
Globe,Globe,IN,C1_F_HEA_I,2032,-0.0
Globe,Globe,IN,C1_F_HEA_I,2033,-0.0
Globe,Globe,IN,C1_F_HEA_I,2034,-0.0
Globe,Globe,IN,C1_F_HEA_I,2035,-0.0
Globe,Globe,IN,C1_F_HEA_I,2036,-0.0
Globe,Globe,IN,C1_F_HEA_I,2037,-0.0
Globe,Globe,IN,C1_F_HEA_I,2038,-0.0
Globe,Globe,IN,C1_F_HEA_I,2039,-0.0
Globe,Globe,IN,C1_F_HEA_I,2040,-0.0
Globe,Globe,IN,C1_F_HEA_I,2041,-0.0
Globe,Globe,IN,C1_F_HEA_I,2042,-0.0
Globe,Globe,IN,C1_F_HEA_I,2043,-0.0
Globe,Globe,IN,C1_F_HEA_I,2044,-0.0
Globe,Globe,IN,C1_F_HEA_I,2045,-0.0
Globe,Globe,IN,C1_F_HEA_I,2046,-0.0
Globe,Globe,IN,C1_F_HEA_I,2047,-0.0
Globe,Globe,IN,C1_F_HEA_I,2048,-0.0
Globe,Globe,IN,C1_F_HEA_I,2049,-0.0
Globe,Globe,IN,C1_F_HEA_I,2050,-0.0
Globe,Globe,IN,C1_F_HEA_I,2051,-0.0
Globe,Globe,IN,C1_F_HEA_I,2052,-0.0
Globe,Globe,IN,C1_F_HEA_I,2053,-0.0
Globe,Globe,IN,C1_F_HEA_I,2054,-0.0
Globe,Globe,IN,C1_F_HEA_I,2055,-0.0
Globe,Globe,IN,C1_F_HEA_I,2056,-0.0
Globe,Globe,IN,C1_F_HEA_I,2057,-0.0
Globe,Globe,IN,C1_F_HEA_I,2058,-0.0
Globe,Globe,IN,C1_F_HEA_I,2059,-0.0
Globe,Globe,IN,C1_F_HEA_I,2060,-0.0
Globe,Globe,IN,C1_F_HEA_I,2061,-0.0
Globe,Globe,IN,C1_F_HEA_I,2062,-0.0
Globe,Globe,IN,C1_F_HEA_I,2063,-0.0
Globe,Globe,IN,C1_F_HEA_I,2064,-0.0
Globe,Globe,IN,C1_F_HEA_I,2065,-0.0
Globe,Globe,IN,C1_F_HEA_I,2066,-0.0
Globe,Globe,IN,C1_F_HEA_I,2067,-0.0
Globe,Globe,IN,C1_F_HEA_I,2068,-0.0
Globe,Globe,IN,C1_F_HEA_I,2069,-0.0
Globe,Globe,IN,C1_F_HEA_I,2070,-0.0
