TIMESLICE,YEAR,MODE_OF_OPERATION,REGION,TECHNOLOGY,VALUE
ID,2013,1,Globe,C1BFRDF00,0.27433633705378985
ID,2013,1,Globe,C1BMBRFH1,6.7772399639149725
ID,2013,1,Globe,C1BMCHP00,0.369778695048
ID,2013,1,Globe,C1BMHTF03,3.06836103024
ID,2013,1,Globe,C1BMLP000,3.0960933588349784
ID,2013,1,Globe,C1CO00I00,72.8305415140043
ID,2013,1,Globe,C1COBRFH1,6.32171980512
ID,2013,1,Globe,C1COCHP00,0.7951606428988801
ID,2013,1,Globe,C1COHTF03,22.88046324528
ID,2013,1,Globe,C1COIGP00,0.010140558479999997
ID,2013,1,Globe,C1COSCP00,14.763829218809377
ID,2013,1,Globe,C1ELEFF00,38.608914357910564
ID,2013,1,Globe,C1ELRLF00,3.16
ID,2013,1,Globe,C1GOCVP00,0.12024853401599998
ID,2013,1,Globe,C1GOHTF03,0.21823952687999998
ID,2013,1,Globe,C1HFGCPCH,0.8682608991600002
ID,2013,1,Globe,C1HFMRF00,45.022750380000005
ID,2013,1,Globe,C1HTOOTFI,35.603286495480624
ID,2013,1,Globe,C1HTOOTFR,15.174781591041505
ID,2013,1,Globe,C1HYDMP00,5.590270808359775
ID,2013,1,Globe,C1HYMIP00,0.4015607294592
ID,2013,1,Globe,C1LFCCP00,0.24716752330046396
ID,2013,1,Globe,C1LFRDF00,9.35995256
ID,2013,1,Globe,C1NG00I00,51.82465566
ID,2013,1,Globe,C1NGBRFH1,4.766026600257775
ID,2013,1,Globe,C1NGBRFN1,3.5410136323537422
ID,2013,1,Globe,C1NGCCP00,7.736366783231482
ID,2013,1,Globe,C1NGCCPCH,1.1143121687908972
ID,2013,1,Globe,C1NGGCPCH,3.9533735602476248
ID,2013,1,Globe,C1NGHTF03,8.728135780319999
ID,2013,1,Globe,C1NU00I00,5.772429642400081
ID,2013,1,Globe,C1NULWP00,2.085415333237023
ID,2013,1,Globe,C1OI00I00,77.61205091000002
ID,2013,1,Globe,C1OIHTF03,6.965960638660672
ID,2013,1,Globe,C1OIRFP00,43.69193552592984
ID,2013,2,Globe,C1OIRFP00,15.8750049422445
ID,2013,1,Globe,C1SOC1P00,0.00650382696
ID,2013,1,Globe,C1SOTHF00,0.6104925573119998
ID,2013,1,Globe,C1SOV1P00,0.29845339272
ID,2013,1,Globe,C1SOV2P00,0.227778473088
ID,2013,1,Globe,C1WDOFP00,0.0047998242964800006
ID,2013,1,Globe,C1WDONP00,0.53515222580736
ID,2013,1,Globe,CEMPLANT,5.016686577432701
ID,2013,1,Globe,FERTPLANT,0.00019652270460122074
ID,2013,1,Globe,LA,2558.64733951815
ID,2013,1,Globe,LA1,774.7473395181499
ID,2013,1,Globe,LA1_i,183.9
ID,2013,1,Globe,LA1_i_PROD,183.9
ID,2013,1,Globe,LA1_PROD,774.7473395181499
ID,2013,1,Globe,LA2,1600.0
ID,2013,1,Globe,LA2_PROD,1600.0
ID,2013,1,Globe,LandRes,6171.871388115813
ID,2013,1,Globe,LF,1829.3985485976636
ID,2013,1,Globe,LF1,588.9154999999993
ID,2013,1,Globe,LF2,1240.4830485976638
ID,2013,1,Globe,LF2_PROD,1240.4830485976638
ID,2013,1,Globe,LO,1783.8254999999997
ID,2013,1,Globe,MFOOFACTOR,2.8389977960793407
ID,2013,1,Globe,PAPPLANT,3.0912844510975352
ID,2013,1,Globe,PETAPLANT,4.71882232238292e-06
ID,2013,1,Globe,PETBPLANT,20.16798826603108
ID,2013,1,Globe,STEPLANT,12.756080448050772
ID,2013,1,Globe,VFOOFACTOR,33.52068003044914
ID,2013,1,Globe,XALUMINE,1.7098279998530945
ID,2013,1,Globe,XCEMMINE,21.180450729920864
ID,2013,1,Globe,XPHOMINE,6.288726547239065e-07
ID,2013,1,Globe,XPOTMINE,1.3756589322085453e-07
ID,2013,1,Globe,XSTEMINE,19.630778664321017
ID,2014,1,Globe,ALUPLANT,1.98724403372699
ID,2014,1,Globe,C1BFRDF00,0.2582353731029287
ID,2014,1,Globe,C1BMBRFH1,7.044978003338108
ID,2014,1,Globe,C1BMCHP00,0.35749368856799996
ID,2014,1,Globe,C1BMHTF03,2.88769917024
ID,2014,1,Globe,C1BMLP000,2.8920207994628937
ID,2014,1,Globe,C1CO00I00,70.95994747128891
ID,2014,1,Globe,C1COBRFH1,7.33631681088
ID,2014,1,Globe,C1COCHP00,1.0673452103479202
ID,2014,1,Globe,C1COHTF03,23.02142289354869
ID,2014,1,Globe,C1COIGP00,0.010140558479999997
ID,2014,1,Globe,C1COSCP00,15.545912151154898
ID,2014,1,Globe,C1ELEFF00,39.79833296976913
ID,2014,1,Globe,C1GOCVP00,0.11677982630400001
ID,2014,1,Globe,C1GOHTF03,0.08096931071999999
ID,2014,1,Globe,C1HFGCPCH,1.1499206880218398
ID,2014,1,Globe,C1HFMRF00,46.35553261
ID,2014,1,Globe,C1HTOOTFI,35.880335650564305
ID,2014,1,Globe,C1HTOOTFR,15.543771248711588
ID,2014,1,Globe,C1HYDMP00,5.629137967331712
ID,2014,1,Globe,C1HYMIP00,0.39624204430079996
ID,2014,1,Globe,C1LFCCP00,0.249932316744864
ID,2014,1,Globe,C1LFRDF00,9.73025896
ID,2014,1,Globe,C1NG00I00,52.59533294
ID,2014,1,Globe,C1NGBRFH1,3.5635788094365592
ID,2014,1,Globe,C1NGBRFN1,3.5410136323537422
ID,2014,1,Globe,C1NGCCP00,8.12883281192994
ID,2014,1,Globe,C1NGCCPCH,1.0680627326308976
ID,2014,1,Globe,C1NGGCPCH,4.388706459195885
ID,2014,1,Globe,C1NGHTF03,8.29888320096
ID,2014,1,Globe,C1NU00I00,1.7872454105048725
ID,2014,1,Globe,C1NULWP00,0.6466155609641362
ID,2014,1,Globe,C1OI00I00,77.88730589
ID,2014,1,Globe,C1OIHTF03,6.759208598753407
ID,2014,1,Globe,C1OIRFP00,46.13316650354451
ID,2014,2,Globe,C1OIRFP00,15.405007504560185
ID,2014,1,Globe,C1SOC1P00,0.00650382696
ID,2014,1,Globe,C1SOTHF00,0.6590544652799998
ID,2014,1,Globe,C1SOV1P00,0.293900713848
ID,2014,1,Globe,C1SOV2P00,0.22373164742399998
ID,2014,1,Globe,C1WDOFP00,0.00430119756288
ID,2014,1,Globe,C1WDONP00,0.51477356799936
ID,2014,1,Globe,CEMPLANT,5.030388325626898
ID,2014,1,Globe,FERTPLANT,0.0001989436717803606
ID,2014,1,Globe,LA,2570.4569355139533
ID,2014,1,Globe,LA1,786.5569355139539
ID,2014,1,Globe,LA1_i,183.9
ID,2014,1,Globe,LA1_i_PROD,183.9
ID,2014,1,Globe,LA1_PROD,786.5569355139539
ID,2014,1,Globe,LA2,1600.0
ID,2014,1,Globe,LA2_PROD,1600.0
ID,2014,1,Globe,LandRes,6172.856308421865
ID,2014,1,Globe,LF,1818.5738729079123
ID,2014,1,Globe,LF1,588.9155
ID,2014,1,Globe,LF2,1229.658372907912
ID,2014,1,Globe,LF2_PROD,1229.658372907912
ID,2014,1,Globe,LO,1783.825500000001
ID,2014,1,Globe,MFOOFACTOR,2.8708966477206816
ID,2014,1,Globe,PAPPLANT,3.1089105147681333
ID,2014,1,Globe,PETAPLANT,4.736439806336815e-06
ID,2014,1,Globe,PETBPLANT,20.7467724920882
ID,2014,1,Globe,STEPLANT,12.66183209226663
ID,2014,1,Globe,VFOOFACTOR,34.02435929967013
ID,2014,1,Globe,XALUMINE,1.771886397791996
ID,2014,1,Globe,XCEMMINE,21.359028830611805
ID,2014,1,Globe,XPHOMINE,6.366197496971538e-07
ID,2014,1,Globe,XPOTMINE,1.392605702462524e-07
ID,2014,1,Globe,XSTEMINE,19.485736570912348
ID,2015,1,Globe,ALUPLANT,2.0398771926921873
ID,2015,1,Globe,C1BFRDF00,0.22596586315819345
ID,2015,1,Globe,C1BMBRFH1,7.338011212257795
ID,2015,1,Globe,C1BMCHP00,0.346437182736
ID,2015,1,Globe,C1BMHTF03,2.70703731024
ID,2015,1,Globe,C1BMLP000,2.511062481590553
ID,2015,1,Globe,C1CO00I00,69.52272129502133
ID,2015,1,Globe,C1COBRFH1,8.35091381664
ID,2015,1,Globe,C1COCHP00,1.0565770408444801
ID,2015,1,Globe,C1COHTF03,24.206526915769224
ID,2015,1,Globe,C1COIGP00,0.010140558479999997
ID,2015,1,Globe,C1COSCP00,15.38209968339542
ID,2015,1,Globe,C1ELEFF00,40.93893559160633
ID,2015,1,Globe,C1ELRLF00,3.29
ID,2015,1,Globe,C1GOCVP00,0.114467354496
ID,2015,1,Globe,C1GOHTF03,0.07703330256000002
ID,2015,1,Globe,C1HFGCPCH,1.4634829043583841
ID,2015,1,Globe,C1HFMRF00,47.690606339999995
ID,2015,1,Globe,C1HTOOTFI,36.101809992669686
ID,2015,1,Globe,C1HTOOTFR,16.13383630149055
ID,2015,1,Globe,C1HYDMP00,5.6650717558152
ID,2015,1,Globe,C1HYMIP00,0.39092335914239995
ID,2015,1,Globe,C1LFCCP00,0.252654042640896
ID,2015,1,Globe,C1LFRDF00,10.099694589999999
ID,2015,1,Globe,C1LFRLF00,1.2772842140368956
ID,2015,1,Globe,C1NG00I00,53.563970493687656
ID,2015,1,Globe,C1NGBRFH1,2.1147604540099043
ID,2015,1,Globe,C1NGBRFN1,3.5410136323537422
ID,2015,1,Globe,C1NGCCP00,10.589388817014788
ID,2015,1,Globe,C1NGCCPCH,1.0229695323748975
ID,2015,1,Globe,C1NGGCPCH,4.165022810963863
ID,2015,1,Globe,C1NGHTF03,7.87107591648
ID,2015,1,Globe,C1OI00I00,78.1626067
ID,2015,1,Globe,C1OIHTF03,7.091929941971596
ID,2015,1,Globe,C1OIRFP00,51.18068861129854
ID,2015,2,Globe,C1OIRFP00,13.558939674222794
ID,2015,1,Globe,C1SOC1P00,0.00650382696
ID,2015,1,Globe,C1SOTHF00,0.7076163732479998
ID,2015,1,Globe,C1SOV1P00,0.28884218176800003
ID,2015,1,Globe,C1SOV2P00,0.22026293971199998
ID,2015,1,Globe,C1WDOFP00,0.004335884639999999
ID,2015,1,Globe,C1WDONP00,0.493640466264
ID,2015,1,Globe,CEMPLANT,5.0439346873623405
ID,2015,1,Globe,FERTPLANT,0.0002017507323826897
ID,2015,1,Globe,LA,2596.4918697514954
ID,2015,1,Globe,LA1,800.2499140619013
ID,2015,1,Globe,LA1_i,183.9
ID,2015,1,Globe,LA1_i_PROD,183.9
ID,2015,1,Globe,LA1_PROD,800.2499140619013
ID,2015,1,Globe,LA2,1612.3419556895947
ID,2015,1,Globe,LA2_PROD,1612.3419556895947
ID,2015,1,Globe,LandRes,6175.027621937274
ID,2015,1,Globe,LF,1794.7102521857767
ID,2015,1,Globe,LF1,588.9155
ID,2015,1,Globe,LF2,1205.794752185777
ID,2015,1,Globe,LF2_PROD,1205.794752185777
ID,2015,1,Globe,LO,1783.825499999998
ID,2015,1,Globe,MFOOFACTOR,2.9022155202412705
ID,2015,1,Globe,PAPPLANT,3.126346652828231
ID,2015,1,Globe,PETAPLANT,4.7628757596439776e-06
ID,2015,1,Globe,PETBPLANT,21.309864808611014
ID,2015,1,Globe,STEPLANT,12.50780878610117
ID,2015,1,Globe,VFOOFACTOR,34.53184470946461
ID,2015,1,Globe,XALUMINE,1.8340280854846376
ID,2015,1,Globe,XCEMMINE,21.537601115037198
ID,2015,1,Globe,XPHOMINE,6.456023436246073e-07
ID,2015,1,Globe,XPOTMINE,1.4122551266788283e-07
ID,2015,1,Globe,XSTEMINE,19.248704714238606
ID,2016,1,Globe,ALUPLANT,2.0917280527753292
ID,2016,1,Globe,C1BFRDF00,0.2628434820212759
ID,2016,1,Globe,C1BMBRFH1,6.788550051360001
ID,2016,1,Globe,C1BMCHP00,0.334152176256
ID,2016,1,Globe,C1BMHTF03,2.52637545024
ID,2016,1,Globe,C1BMLP000,2.898107758834979
ID,2016,1,Globe,C1BMSCP00,0.21565292340957684
ID,2016,1,Globe,C1CO00I00,64.87665758199864
ID,2016,1,Globe,C1COBRFH1,4.773704059533693
ID,2016,1,Globe,C1COCHP00,0.8633984057674563
ID,2016,1,Globe,C1COHTF03,26.87670358848001
ID,2016,1,Globe,C1COSCP00,14.166535662569151
ID,2016,1,Globe,C1ELEFF00,42.315186060060896
