TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
IP,2027,XALUMINE,1,Globe,0.47041512294
IP,2027,XCEMMINE,1,Globe,4.309341300600001
IP,2027,XPHOMINE,2,Globe,9.825713454000001e-08
IP,2028,ALUPLANT,1,Globe,0.4425649773
IP,2028,C1BFRDF00,1,Globe,0.038377670094000005
IP,2028,C1BMBRFH1,1,Globe,0.64991519154
IP,2028,C1BMBRFN1,1,Globe,1.3140508169999998
IP,2028,C1BMCHP00,1,Globe,0.07489216584
IP,2028,C1BMHTF03,1,Globe,0.042100560191999994
IP,2028,C1BMIGPCS,1,Globe,0.14462241378
IP,2028,C1BMLP000,1,Globe,0.38327338194
IP,2028,C1BMSCP00,1,Globe,0.040020202236
IP,2028,C1CO00I00,1,Globe,6.823428796200001
IP,2028,C1COCHP00,1,Globe,0.12720489924
IP,2028,C1COHTF03,1,Globe,2.1843840269999997
IP,2028,C1COIGP00,1,Globe,0.00894234816
IP,2028,C1COSCP00,1,Globe,1.9547663964
IP,2028,C1COSCPCS,1,Globe,0.13065533238000002
IP,2028,C1ELEFF00,1,Globe,10.381197486
IP,2028,C1GOCVP00,1,Globe,0.015149389824000001
IP,2028,C1HFGCP00,1,Globe,0.35635257084
IP,2028,C1HFGCPCH,1,Globe,0.335338056
IP,2028,C1HFMRF00,1,Globe,10.867020000000002
IP,2028,C1HTOOTFI,1,Globe,4.2670208046
IP,2028,C1HTOOTFR,1,Globe,1.1349039473999998
IP,2028,C1HYDMP00,1,Globe,1.285065564
IP,2028,C1HYMIP00,1,Globe,0.07065507054
IP,2028,C1LFBRFN1,1,Globe,0.47341843200000006
IP,2028,C1LFCCP00,1,Globe,0.31298218559999996
IP,2028,C1LFRDF00,1,Globe,2.0016
IP,2028,C1LFRLF00,1,Globe,1.4828776871999998
IP,2028,C1NG00I00,1,Globe,12.271531878000001
IP,2028,C1NGBRFH1,1,Globe,0.20874137628
IP,2028,C1NGBRFN1,1,Globe,1.2249973812
IP,2028,C1NGCCP00,1,Globe,2.4142104078
IP,2028,C1NGCCPCH,1,Globe,0.43089493206000007
IP,2028,C1NGGCP00,1,Globe,1.1859789414
IP,2028,C1NGGCPCH,1,Globe,0.6777773884799999
IP,2028,C1NGHTF03,1,Globe,0.72733145838
IP,2028,C1NU00I00,1,Globe,1.9559307438000002
IP,2028,C1NULWP00,1,Globe,0.72227871942
IP,2028,C1OCCVP00,1,Globe,0.00034717351680000003
IP,2028,C1OI00I00,1,Globe,11.91862728
IP,2028,C1OIHTF03,1,Globe,0.58798145082
IP,2028,C1OIRFP00,1,Globe,11.91862728
IP,2028,C1SOC1P00,1,Globe,0.003432283632
IP,2028,C1SOTHF00,1,Globe,0.28994669694
IP,2028,C1SOV1P00,1,Globe,0.013520041554
IP,2028,C1SOV2P00,1,Globe,0.0062912049408
IP,2028,C1WDOFP00,1,Globe,0.0037684107353999994
IP,2028,C1WDONP00,1,Globe,0.066051339666
IP,2028,CEMPLANT,1,Globe,0.9475867968
IP,2028,LandRes,1,Globe,726.1692043200001
IP,2028,LF,1,Globe,382.14907488
IP,2028,LF1,1,Globe,29.715771948000004
IP,2028,LF2,1,Globe,352.43329626
IP,2028,LF2_PROD,1,Globe,352.43329626
IP,2028,LO,1,Globe,325.26
IP,2028,XALUMINE,1,Globe,0.44081020794000003
IP,2028,XCEMMINE,1,Globe,4.341842697600001
IP,2028,XPHOMINE,2,Globe,9.491137674000002e-08
IP,2029,ALUPLANT,1,Globe,0.40835337990000004
IP,2029,C1BFRDF00,1,Globe,0.037500279576
IP,2029,C1BMBRFH1,1,Globe,0.64991519154
IP,2029,C1BMBRFN1,1,Globe,1.4455559370000002
IP,2029,C1BMCHP00,1,Globe,0.07288013750399999
IP,2029,C1BMHTF03,1,Globe,0.021050280095999997
IP,2029,C1BMIGPCS,1,Globe,0.14462241378
IP,2029,C1BMLP000,1,Globe,0.37126378194
IP,2029,C1BMSCP00,1,Globe,0.035325469452
IP,2029,C1CO00I00,1,Globe,6.636290205000001
IP,2029,C1COCHP00,1,Globe,0.12161593164000001
IP,2029,C1COHTF03,1,Globe,2.1843840269999997
IP,2029,C1COIGP00,1,Globe,0.00894234816
IP,2029,C1COSCP00,1,Globe,1.8720496092
IP,2029,C1COSCPCS,1,Globe,0.13065533238000002
IP,2029,C1ELEFF00,1,Globe,10.350824040000001
IP,2029,C1GOCVP00,1,Globe,0.014518165248
IP,2029,C1HFGCP00,1,Globe,0.32661926988000006
IP,2029,C1HFGCPCH,1,Globe,0.35769392640000003
IP,2029,C1HFMRF00,1,Globe,11.15058
IP,2029,C1HTOOTFI,1,Globe,4.1432578734000005
IP,2029,C1HTOOTFR,1,Globe,0.9415111902
IP,2029,C1HYDMP00,1,Globe,1.2707894022
IP,2029,C1HYMIP00,1,Globe,0.069687193524
IP,2029,C1LFBRFN1,1,Globe,0.43396689600000005
IP,2029,C1LFCCP00,1,Globe,0.31008907296
IP,2029,C1LFRDF00,1,Globe,2.0016
IP,2029,C1LFRLF00,1,Globe,1.4828776871999998
IP,2029,C1NG00I00,1,Globe,12.327352332
IP,2029,C1NGBRFH1,1,Globe,0.07723626045
IP,2029,C1NGBRFN1,1,Globe,1.2644489172
IP,2029,C1NGCCP00,1,Globe,2.4960328968000005
IP,2029,C1NGCCPCH,1,Globe,0.42268901424
IP,2029,C1NGGCP00,1,Globe,1.1562455904
IP,2029,C1NGGCPCH,1,Globe,0.74898741096
IP,2029,C1NGHTF03,1,Globe,0.7055217495600001
IP,2029,C1NU00I00,1,Globe,1.9013531166000002
IP,2029,C1NULWP00,1,Globe,0.70316313918
IP,2029,C1OCCVP00,1,Globe,0.00034717351680000003
IP,2029,C1OI00I00,1,Globe,11.447054490000001
IP,2029,C1OIHTF03,1,Globe,0.21818428290000003
IP,2029,C1OIRFP00,1,Globe,10.085426892000001
IP,2029,C1OIRFP00,2,Globe,1.3616272644
IP,2029,C1SOC1P00,1,Globe,0.0033139290239999997
IP,2029,C1SOTHF00,1,Globe,0.31040468358000006
IP,2029,C1SOV1P00,1,Globe,0.013247825622
IP,2029,C1SOV2P00,1,Globe,0.006143919206400001
IP,2029,C1WDOFP00,1,Globe,0.0036729380016000002
IP,2029,C1WDONP00,1,Globe,0.061492056822
IP,2029,CEMPLANT,1,Globe,0.9497056572000001
IP,2029,LandRes,1,Globe,749.45888784
IP,2029,LF,1,Globe,389.97533922
IP,2029,LF1,1,Globe,28.79157735
IP,2029,LF2,1,Globe,361.1837577
IP,2029,LF2_PROD,1,Globe,361.1837577
IP,2029,LO,1,Globe,325.26
IP,2029,XALUMINE,1,Globe,0.40977955326
IP,2029,XCEMMINE,1,Globe,4.3743444282
IP,2029,XPHOMINE,2,Globe,9.165589944e-08
IP,2030,ALUPLANT,1,Globe,0.49936279590000004
IP,2030,C1BFRDF00,1,Globe,0.036607406682
IP,2030,C1BMBRFH1,1,Globe,0.64991519154
IP,2030,C1BMBRFN1,1,Globe,1.5770610569999999
IP,2030,C1BMCHP00,1,Globe,0.070644550464
IP,2030,C1BMIGPCS,1,Globe,0.14462241378
IP,2030,C1BMLP000,1,Globe,0.35925418194
IP,2030,C1BMSCP00,1,Globe,0.030630736668
IP,2030,C1CO00I00,1,Globe,6.335786077199999
IP,2030,C1COCHP00,1,Globe,0.11602696404000001
IP,2030,C1COHTF03,1,Globe,2.0459100863999997
IP,2030,C1COIGP00,1,Globe,0.00894234816
IP,2030,C1COSCP00,1,Globe,1.7891093934000002
IP,2030,C1COSCPCS,1,Globe,0.13065533238000002
IP,2030,C1ELEFF00,1,Globe,10.404139158
IP,2030,C1GOCVP00,1,Globe,0.013886940672000001
IP,2030,C1HFGCP00,1,Globe,0.29710951428
IP,2030,C1HFGCPCH,1,Globe,0.3800497968
IP,2030,C1HFMRF00,1,Globe,11.43414
IP,2030,C1HTOOTFI,1,Globe,4.0484844486
IP,2030,C1HTOOTFR,1,Globe,0.8143536705
IP,2030,C1HYDMP00,1,Globe,1.2565132404
IP,2030,C1HYMIP00,1,Globe,0.068719315674
IP,2030,C1LFBRFN1,1,Globe,0.36821433600000003
IP,2030,C1LFCCP00,1,Globe,0.30745897056000004
IP,2030,C1LFRDF00,1,Globe,2.0016
IP,2030,C1NG00I00,1,Globe,12.474797694000001
IP,2030,C1NGBRFN1,1,Globe,1.2157226340000002
IP,2030,C1NGCCP00,1,Globe,2.5780789812
IP,2030,C1NGCCPCH,1,Globe,0.4348683749399999
IP,2030,C1NGGCP00,1,Globe,1.1262887274
IP,2030,C1NGGCPCH,1,Globe,0.8596490028
IP,2030,C1NGHTF03,1,Globe,0.65077525404
IP,2030,C1NU00I00,1,Globe,1.8475817171999998
IP,2030,C1NULWP00,1,Globe,0.68428951902
IP,2030,C1OCCVP00,1,Globe,0.00034717351680000003
IP,2030,C1OI00I00,1,Globe,10.445041020000001
IP,2030,C1OIHTF03,1,Globe,0.060159686778
IP,2030,C1OIRFP00,1,Globe,10.407802085999998
IP,2030,C1OIRFP00,2,Globe,0.037239008226
IP,2030,C1SOC1P00,1,Globe,0.0033139290239999997
IP,2030,C1SOTHF00,1,Globe,0.32034647232
IP,2030,C1SOV1P00,1,Globe,0.012945363846
IP,2030,C1SOV2P00,1,Globe,0.0060176742912
IP,2030,C1WDOFP00,1,Globe,0.00368214336
IP,2030,C1WDONP00,1,Globe,0.080289143304
IP,2030,CEMPLANT,1,Globe,0.9518030004000001
IP,2030,FERTPLANT,1,Globe,1.7715816324000003e-06
IP,2030,LA,1,Globe,110.54063682
IP,2030,LA1_i,1,Globe,8.650047840000001
IP,2030,LA1_i_PROD,1,Globe,8.650047840000001
IP,2030,LA2,1,Globe,101.89058898000002
