REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,IN,FERTPLANT,1,FERT,2015,0.00043886433
Globe,IN,FERTPLANT,1,FERT,2016,0.00044524555
Globe,IN,FERTPLANT,1,FERT,2017,0.00045166666
Globe,IN,FERTPLANT,1,FERT,2018,0.00045811435
Globe,IN,FERTPLANT,1,FERT,2019,0.00046460955
Globe,IN,FERTPLANT,1,FERT,2020,0.00047111042
Globe,IN,FERTPLANT,1,FERT,2021,0.00047419274
Globe,IN,FERTPLANT,1,FERT,2022,0.00047720052
Globe,IN,FERTPLANT,1,FERT,2023,0.00048014568
Globe,IN,FERTPLANT,1,FERT,2024,0.00048302273
Globe,IN,FERTPLANT,1,FERT,2025,0.00048580902
Globe,IN,FERTPLANT,1,FERT,2026,0.00048865456
Globe,IN,FERTPLANT,1,FERT,2027,0.00049140141
Globe,IN,FERTPLANT,1,FERT,2028,0.00049408517
Globe,IN,FERTPLANT,1,FERT,2029,0.00049667479
Globe,IN,FERTPLANT,1,FERT,2030,0.00049917884
Globe,IN,FERTPLANT,1,FERT,2031,0.00050003279
Globe,IN,FERTPLANT,1,FERT,2032,0.00050077775
Globe,IN,FERTPLANT,1,FERT,2033,0.0005014292
Globe,IN,FERTPLANT,1,FERT,2034,0.00050192626
Globe,IN,FERTPLANT,1,FERT,2035,0.00050228951
Globe,IN,FERTPLANT,1,FERT,2036,0.00050257544
Globe,IN,FERTPLANT,1,FERT,2037,0.00050272227
Globe,IN,FERTPLANT,1,FERT,2038,0.00050268881
Globe,IN,FERTPLANT,1,FERT,2039,0.00050251529
Globe,IN,FERTPLANT,1,FERT,2040,0.00050218837
Globe,IN,FERTPLANT,1,FERT,2041,0.00050077851
Globe,IN,FERTPLANT,1,FERT,2042,0.00049919875
Globe,IN,FERTPLANT,1,FERT,2043,0.00049744587
Globe,IN,FERTPLANT,1,FERT,2044,0.00049546303
Globe,IN,FERTPLANT,1,FERT,2045,0.00049327467
Globe,IN,FERTPLANT,1,FERT,2046,0.00049093897
Globe,IN,FERTPLANT,1,FERT,2047,0.00048836339
Globe,IN,FERTPLANT,1,FERT,2048,0.00048554226
