TIMESLICE,YEAR,TECHNOLOGY,REGION,MODE_OF_OPERATION,VALUE
ID,2015,C1NGBRFN1,Globe,1,2.673795528
ID,2015,C1NGCCP00,Globe,1,8.0549895983
ID,2015,C1NGCCPCH,Globe,1,1.21289145413
ID,2015,C1NGGCP00,Globe,1,1.1586528407099999
ID,2015,C1NGGCPCH,Globe,1,1.01303099466
ID,2015,C1NGHTF03,Globe,1,10.0001637458
ID,2015,C1NU00I00,Globe,1,13.119963543099999
ID,2015,C1NULWP00,Globe,1,4.753609966099999
ID,2015,C1OCCVP00,Globe,1,0.0019077892416000002
ID,2015,C1OI00I00,Globe,1,78.1626067
ID,2015,C1OIHTF03,Globe,1,6.385901787
ID,2015,C1OIRFP00,Globe,1,19.9244669258
ID,2015,C1OIRFP00,Globe,2,48.739366311
ID,2015,C1SOC1P00,Globe,1,0.041624492544000004
ID,2015,C1SOTHF00,Globe,1,0.7076163915800001
ID,2015,C1SOV1P00,Globe,1,0.289348034976
ID,2015,C1SOV2P00,Globe,1,0.22084105766399997
ID,2015,C1WDOFP00,Globe,1,0.022221408779999997
ID,2015,C1WDONP00,Globe,1,0.66104898688
ID,2015,CEMPLANT,Globe,1,5.0439347667
ID,2015,FERTPLANT,Globe,1,0.000201559808372
ID,2015,LA,Globe,1,2596.49186716
ID,2015,LA1,Globe,1,800.24991244
ID,2015,LA1_i,Globe,1,183.900001565
ID,2015,LA1_i_PROD,Globe,1,183.900001565
ID,2015,LA1_PROD,Globe,1,800.24991244
ID,2015,LA2,Globe,1,1612.34197607
ID,2015,LA2_PROD,Globe,1,1612.34197607
ID,2015,LandRes,Globe,1,6172.6515889
ID,2015,LF,Globe,1,1820.8259
ID,2015,LF1,Globe,1,588.9155
ID,2015,LF2,Globe,1,1231.9104
ID,2015,LF2_PROD,Globe,1,1231.9104
ID,2015,LO,Globe,1,1755.33363842
ID,2015,MFOOFACTOR,Globe,1,2.9022155019299998
ID,2015,PAPPLANT,Globe,1,3.1263466586299993
ID,2015,PETAPLANT,Globe,1,4.758368495000001e-06
ID,2015,PETBPLANT,Globe,1,21.309864745600002
ID,2015,STEPLANT,Globe,1,13.558553435
ID,2015,VFOOFACTOR,Globe,1,34.531844493799994
ID,2015,XALUMINE,Globe,1,1.85084432085
ID,2015,XCEMMINE,Globe,1,21.5376008901
ID,2015,XPHOMINE,Globe,1,6.449912548000001e-07
ID,2015,XPOTMINE,Globe,1,1.41091866777e-07
ID,2015,XSTEMINE,Globe,1,20.8657321735
ID,2016,ALUPLANT,Globe,1,2.0917280382600003
ID,2016,C1BFRDF00,Globe,1,0.14422508514000001
ID,2016,C1BMBRFH1,Globe,1,6.5151492614999995
ID,2016,C1BMBRFN1,Globe,1,2.0956775759999995
ID,2016,C1BMCHP00,Globe,1,0.334152176256
ID,2016,C1BMHTF03,Globe,1,2.52637545024
ID,2016,C1BMLP000,Globe,1,1.59022331815
ID,2016,C1CO00I00,Globe,1,61.695910614999995
ID,2016,C1COBRFH1,Globe,1,4.162449254399999
ID,2016,C1COCHP00,Globe,1,0.8633984278199999
ID,2016,C1COHTF03,Globe,1,18.3454616459
ID,2016,C1COIGP00,Globe,1,0.04914002592
ID,2016,C1COSCP00,Globe,1,17.1874915347
ID,2016,C1ELEFF00,Globe,1,42.4959559519
ID,2016,C1ELRLF00,Globe,1,1.53500000135
ID,2016,C1GOCVP00,Globe,1,0.122561005824
ID,2016,C1GOHTF03,Globe,1,2.57262034923
ID,2016,C1HFGCPCH,Globe,1,0.47500113945
ID,2016,C1HFMRF00,Globe,1,48.703540999999994
ID,2016,C1HTOOTFI,Globe,1,44.188893695199994
ID,2016,C1HTOOTFR,Globe,1,1.4737170419499999
ID,2016,C1HYDMP00,Globe,1,5.8181574555
ID,2016,C1HYMIP00,Globe,1,0.45075856809099996
ID,2016,C1LFAVF00,Globe,1,0.32461389
ID,2016,C1LFBRFH1,Globe,1,5.1828276230000005
ID,2016,C1LFBRFN1,Globe,1,2.3124718079999997
ID,2016,C1LFCCP00,Globe,1,0.8250094324499999
ID,2016,C1LFRDF00,Globe,1,11.2632715434
ID,2016,C1LFRLF00,Globe,1,3.515161
ID,2016,C1NG00I00,Globe,1,54.427263449
ID,2016,C1NGBRFH1,Globe,1,8.9478207854
ID,2016,C1NGBRFN1,Globe,1,3.179648736
ID,2016,C1NGCCP00,Globe,1,8.7839239977
ID,2016,C1NGCCPCH,Globe,1,1.28226560837
ID,2016,C1NGGCP00,Globe,1,0.79580508989
ID,2016,C1NGGCPCH,Globe,1,1.0709736803399998
ID,2016,C1NGHTF03,Globe,1,10.6214718898
ID,2016,C1NU00I00,Globe,1,9.583554380199999
ID,2016,C1NULWP00,Globe,1,3.4773418548499997
ID,2016,C1OCCVP00,Globe,1,0.0019077892416000002
ID,2016,C1OI00I00,Globe,1,78.43790751
ID,2016,C1OIHTF03,Globe,1,6.053540793799999
ID,2016,C1OIRFP00,Globe,1,6.6976800689
ID,2016,C1OIRFP00,Globe,2,71.740228816
