TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2014,Globe,C1OIRFP00,2,46.930703693
ID,2014,Globe,C1SOC1P00,1,0.041624492544000004
ID,2014,Globe,C1SOTHF00,1,0.65905446528
ID,2014,Globe,C1SOV1P00,1,0.294406567056
ID,2014,Globe,C1SOV2P00,1,0.224309765376
ID,2014,Globe,C1WDOFP00,1,0.022043637418099997
ID,2014,Globe,C1WDONP00,1,0.68094200251
ID,2014,Globe,CEMPLANT,1,5.0303883353
ID,2014,Globe,FERTPLANT,1,0.000198755401927
ID,2014,Globe,LA,1,2570.45694408
ID,2014,Globe,LA1,1,786.5569167
ID,2014,Globe,LA1_i,1,183.900001565
ID,2014,Globe,LA1_i_PROD,1,183.900001565
ID,2014,Globe,LA1_PROD,1,786.5569167
ID,2014,Globe,LA2,1,1600.0000029
ID,2014,Globe,LA2_PROD,1,1600.0000029
ID,2014,Globe,LandRes,1,6172.6515889
ID,2014,Globe,LF,1,1820.8259
ID,2014,Globe,LF1,1,588.9155
ID,2014,Globe,LF2,1,1231.9104
ID,2014,Globe,LF2_PROD,1,1231.9104
ID,2014,Globe,LO,1,1781.3685615
ID,2014,Globe,MFOOFACTOR,1,2.8708966548299997
ID,2014,Globe,PAPPLANT,1,3.1089104976399997
ID,2014,Globe,PETAPLANT,1,4.7319575826e-06
ID,2014,Globe,PETBPLANT,1,20.746772617399998
ID,2014,Globe,STEPLANT,1,13.4649034964
ID,2014,Globe,VFOOFACTOR,1,34.0243592795
ID,2014,Globe,XALUMINE,1,1.85622563362
ID,2014,Globe,XCEMMINE,1,21.3590288781
ID,2014,Globe,XPHOMINE,1,6.360171450099999e-07
ID,2014,Globe,XPOTMINE,1,1.39128779974e-07
ID,2014,Globe,XSTEMINE,1,20.7216110308
ID,2015,Globe,ALUPLANT,1,2.05858089497
ID,2015,Globe,C1BFRDF00,1,0.266734138076
ID,2015,Globe,C1BMBRFH1,1,5.9607061709
ID,2015,Globe,C1BMBRFN1,1,1.517559624
ID,2015,Globe,C1BMCHP00,1,0.346437182736
ID,2015,Globe,C1BMHTF03,1,2.70703731024
ID,2015,Globe,C1BMLP000,1,2.96410295903
ID,2015,Globe,C1CO00I00,1,77.22245008
ID,2015,Globe,C1COBRFH1,1,3.72597020064
ID,2015,Globe,C1COCHP00,1,0.8721429293099999
ID,2015,Globe,C1COHTF03,1,18.568564377399998
ID,2015,Globe,C1COIGP00,1,0.04914002592
ID,2015,Globe,C1COSCP00,1,15.5223900168
ID,2015,Globe,C1ELEFF00,1,41.1245931113
ID,2015,Globe,C1ELRLF00,1,0.90500001453
ID,2015,Globe,C1GOCVP00,1,0.10403019986699999
ID,2015,Globe,C1GOHTF03,1,2.68207897969
ID,2015,Globe,C1HFGCPCH,1,0.41078214526199996
ID,2015,Globe,C1HFMRF00,1,47.397386
ID,2015,Globe,C1HTOOTFI,1,43.1469527699
ID,2015,Globe,C1HTOOTFR,1,2.5225904880299996
ID,2015,Globe,C1HYDMP00,1,5.5317172057
ID,2015,Globe,C1HYMIP00,1,0.436174252179
ID,2015,Globe,C1LFAVF00,1,0.29322034
ID,2015,Globe,C1LFBRFH1,1,5.5990721817999995
ID,2015,Globe,C1LFBRFN1,1,1.951148088
ID,2015,Globe,C1LFCCP00,1,0.56847160777
ID,2015,Globe,C1LFRDF00,1,8.350468440699998
ID,2015,Globe,C1LFRLF00,1,3.515161
ID,2015,Globe,C1NG00I00,1,53.365964389999995
ID,2015,Globe,C1NGBRFH1,1,9.5403916862
ID,2015,Globe,C1NGBRFN1,1,2.673795528
ID,2015,Globe,C1NGCCP00,1,8.054989598299999
ID,2015,Globe,C1NGCCPCH,1,1.21289145413
ID,2015,Globe,C1NGGCP00,1,1.1586528407099999
ID,2015,Globe,C1NGGCPCH,1,1.01303099466
ID,2015,Globe,C1NGHTF03,1,10.000163745799998
ID,2015,Globe,C1NU00I00,1,13.119963543099999
ID,2015,Globe,C1NULWP00,1,4.7536099661
ID,2015,Globe,C1OCCVP00,1,0.0019077892415999998
ID,2015,Globe,C1OI00I00,1,78.1626067
ID,2015,Globe,C1OIHTF03,1,6.385901787
ID,2015,Globe,C1OIRFP00,1,19.924466925799997
ID,2015,Globe,C1OIRFP00,2,48.739366311
ID,2015,Globe,C1SOC1P00,1,0.041624492544000004
ID,2015,Globe,C1SOTHF00,1,0.70761639158
ID,2015,Globe,C1SOV1P00,1,0.289348034976
ID,2015,Globe,C1SOV2P00,1,0.22084105766399997
ID,2015,Globe,C1WDOFP00,1,0.022221408779999997
ID,2015,Globe,C1WDONP00,1,0.6610489868799999
ID,2015,Globe,CEMPLANT,1,5.0439347667
ID,2015,Globe,FERTPLANT,1,0.00020155980837199998
ID,2015,Globe,LA,1,2596.49186716
ID,2015,Globe,LA1,1,800.24991244
ID,2015,Globe,LA1_i,1,183.900001565
ID,2015,Globe,LA1_i_PROD,1,183.900001565
ID,2015,Globe,LA1_PROD,1,800.24991244
ID,2015,Globe,LA2,1,1612.34197607
ID,2015,Globe,LA2_PROD,1,1612.34197607
ID,2015,Globe,LandRes,1,6172.6515889
ID,2015,Globe,LF,1,1820.8259
ID,2015,Globe,LF1,1,588.9155
ID,2015,Globe,LF2,1,1231.9104
ID,2015,Globe,LF2_PROD,1,1231.9104
ID,2015,Globe,LO,1,1755.33363842
ID,2015,Globe,MFOOFACTOR,1,2.90221550193
ID,2015,Globe,PAPPLANT,1,3.1263466586299997
ID,2015,Globe,PETAPLANT,1,4.758368495e-06
ID,2015,Globe,PETBPLANT,1,21.309864745600002
ID,2015,Globe,STEPLANT,1,13.558553435
ID,2015,Globe,VFOOFACTOR,1,34.531844493799994
ID,2015,Globe,XALUMINE,1,1.85084432085
ID,2015,Globe,XCEMMINE,1,21.5376008901
ID,2015,Globe,XPHOMINE,1,6.449912548e-07
ID,2015,Globe,XPOTMINE,1,1.41091866777e-07
ID,2015,Globe,XSTEMINE,1,20.8657321735
ID,2016,Globe,ALUPLANT,1,2.09172803826
ID,2016,Globe,C1BFRDF00,1,0.14422508514000001
ID,2016,Globe,C1BMBRFH1,1,6.5151492614999995
ID,2016,Globe,C1BMBRFN1,1,2.095677576
ID,2016,Globe,C1BMCHP00,1,0.334152176256
ID,2016,Globe,C1BMHTF03,1,2.52637545024
ID,2016,Globe,C1BMLP000,1,1.59022331815
ID,2016,Globe,C1CO00I00,1,61.695910614999995
ID,2016,Globe,C1COBRFH1,1,4.1624492544
ID,2016,Globe,C1COCHP00,1,0.86339842782
ID,2016,Globe,C1COHTF03,1,18.3454616459
ID,2016,Globe,C1COIGP00,1,0.04914002592
ID,2016,Globe,C1COSCP00,1,17.1874915347
ID,2016,Globe,C1ELEFF00,1,42.4959559519
ID,2016,Globe,C1ELRLF00,1,1.5350000013499998
ID,2016,Globe,C1GOCVP00,1,0.122561005824
ID,2016,Globe,C1GOHTF03,1,2.57262034923
ID,2016,Globe,C1HFGCPCH,1,0.47500113945
ID,2016,Globe,C1HFMRF00,1,48.703540999999994
ID,2016,Globe,C1HTOOTFI,1,44.1888936952
ID,2016,Globe,C1HTOOTFR,1,1.4737170419499999
ID,2016,Globe,C1HYDMP00,1,5.8181574555
ID,2016,Globe,C1HYMIP00,1,0.45075856809099996
ID,2016,Globe,C1LFAVF00,1,0.32461389
ID,2016,Globe,C1LFBRFH1,1,5.182827623
ID,2016,Globe,C1LFBRFN1,1,2.3124718079999997
ID,2016,Globe,C1LFCCP00,1,0.8250094324499999
ID,2016,Globe,C1LFRDF00,1,11.2632715434
ID,2016,Globe,C1LFRLF00,1,3.515161
