REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Globe,C1LFCCP00,C1_P_LFO,1,2037,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2038,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2039,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2040,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2041,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2042,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2043,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2044,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2045,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2046,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2047,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2048,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2049,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2050,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2051,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2052,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2053,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2054,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2055,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2056,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2057,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2058,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2059,1.86
Globe,C1LFCCP00,C1_P_LFO,1,2060,1.86
Globe,C1LFRDF00,C1_P_LFO,1,2010,3.971
Globe,C1LFRDF00,C1_P_LFO,1,2011,3.855
Globe,C1LFRDF00,C1_P_LFO,1,2012,3.777
Globe,C1LFRDF00,C1_P_LFO,1,2013,3.732
Globe,C1LFRDF00,C1_P_LFO,1,2014,3.635
Globe,C1LFRDF00,C1_P_LFO,1,2015,3.603
Globe,C1LFRDF00,C1_P_LFO,1,2016,3.563
Globe,C1LFRDF00,C1_P_LFO,1,2017,3.522
Globe,C1LFRDF00,C1_P_LFO,1,2018,3.521
Globe,C1LFRDF00,C1_P_LFO,1,2019,3.434
Globe,C1LFRDF00,C1_P_LFO,1,2020,3
Globe,C1LFRDF00,C1_P_LFO,1,2021,2.991
Globe,C1LFRDF00,C1_P_LFO,1,2022,2.983
Globe,C1LFRDF00,C1_P_LFO,1,2023,2.974
Globe,C1LFRDF00,C1_P_LFO,1,2024,2.966
Globe,C1LFRDF00,C1_P_LFO,1,2025,2.957
Globe,C1LFRDF00,C1_P_LFO,1,2026,2.932
Globe,C1LFRDF00,C1_P_LFO,1,2027,2.907
Globe,C1LFRDF00,C1_P_LFO,1,2028,2.882
Globe,C1LFRDF00,C1_P_LFO,1,2029,2.857
Globe,C1LFRDF00,C1_P_LFO,1,2030,2.832
Globe,C1LFRDF00,C1_P_LFO,1,2031,2.807
