TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
ID,2013,1,LA1_PROD,Globe,709.4325433979656
ID,2013,1,LA2,Globe,1466.56
ID,2013,1,LA2_PROD,Globe,1466.56
ID,2013,1,LandRes,Globe,5962.0247
ID,2013,1,LF,Globe,1830.0994166020344
ID,2013,1,LF1,Globe,588.9154999999998
ID,2013,1,LF2,Globe,1241.1839166020347
ID,2013,1,LF2_PROD,Globe,1241.1839166020347
ID,2013,1,LO,Globe,1783.8254999999997
ID,2013,1,MFOOFACTOR,Globe,2.6048834241967285
ID,2013,1,PAPPLANT,Globe,2.8334713278760013
ID,2013,1,PETAPLANT,Globe,4.339269965593187e-06
ID,2013,1,PETBPLANT,Globe,20.16798826603108
ID,2013,1,STEPLANT,Globe,12.256090603834508
ID,2013,1,VFOOFACTOR,Globe,30.92415666309311
ID,2013,1,XALUMINE,Globe,1.7098279998530939
ID,2013,1,XCEMMINE,Globe,21.18045072992086
ID,2013,1,XPHOMINE,Globe,5.782900979090651e-07
ID,2013,1,XPOTMINE,Globe,1.26500958917608e-07
ID,2013,1,XSTEMINE,Globe,18.86132679341206
ID,2014,1,ALUPLANT,Globe,1.98724403372699
ID,2014,1,C1BFRDF00,Globe,0.2582353731029287
ID,2014,1,C1BMBRFH1,Globe,6.821861356179242
ID,2014,1,C1BMCHP00,Globe,0.35749368856799996
ID,2014,1,C1BMHTF03,Globe,2.88769917024
ID,2014,1,C1BMLP000,Globe,2.8920207994628937
ID,2014,1,C1CO00I00,Globe,65.7483030397201
ID,2014,1,C1COBRFH1,Globe,4.3645694899119984
ID,2014,1,C1COCHP00,Globe,1.336806132304608
ID,2014,1,C1COHTF03,Globe,20.735350408068054
ID,2014,1,C1COSCP00,Globe,17.55778259034151
ID,2014,1,C1ELEFF00,Globe,28.772324200418566
ID,2014,1,C1GOCVP00,Globe,0.11677982630400001
ID,2014,1,C1GOHTF03,Globe,0.20812246272
ID,2014,1,C1HFGCPCH,Globe,0.09008595251784
ID,2014,1,C1HFMRF00,Globe,42.6219
ID,2014,1,C1HTOOTFI,Globe,35.34977157852817
ID,2014,1,C1HTOOTFR,Globe,12.752366001910097
ID,2014,1,C1HYDMP00,Globe,5.629137967331712
ID,2014,1,C1HYMIP00,Globe,0.39624204430079996
ID,2014,1,C1LFCCP00,Globe,0.302786097711264
ID,2014,1,C1LFRDF00,Globe,9.33263788
ID,2014,1,C1LFRLF00,Globe,5.235371436779653
ID,2014,1,C1NG00I00,Globe,52.595332940000006
ID,2014,1,C1NGBRFH1,Globe,3.530846523188492
ID,2014,1,C1NGBRFN1,Globe,9.095161443530168
ID,2014,1,C1NGCCP00,Globe,6.134987706624
ID,2014,1,C1NGCCPCH,Globe,0.911113892352
ID,2014,1,C1NGGCP00,Globe,0.6559918002668681
ID,2014,1,C1NGGCPCH,Globe,0.85416927408
ID,2014,1,C1NGHTF03,Globe,13.406207454934142
ID,2014,1,C1OI00I00,Globe,77.88730589
ID,2014,1,C1OIHTF03,Globe,6.109891939176894
ID,2014,1,C1OIRFP00,Globe,20.220604726099445
ID,2014,2,C1OIRFP00,Globe,38.09001759316378
ID,2014,1,C1SOC1P00,Globe,0.00650382696
ID,2014,1,C1SOTHF00,Globe,0.6590544652799998
ID,2014,1,C1SOV1P00,Globe,0.293900713848
ID,2014,1,C1SOV2P00,Globe,0.22373164742399998
ID,2014,1,C1WDOFP00,Globe,0.00430119756288
ID,2014,1,C1WDONP00,Globe,0.51477356799936
ID,2014,1,CEMPLANT,Globe,5.030388325626898
ID,2014,1,FERTPLANT,Globe,0.0001829488647524754
ID,2014,1,LA,Globe,2358.9934865974406
ID,2014,1,LA1,Globe,720.326246597441
ID,2014,1,LA1_i,Globe,172.10723999999973
ID,2014,1,LA1_i_PROD,Globe,172.10723999999973
ID,2014,1,LA1_PROD,Globe,720.326246597441
ID,2014,1,LA2,Globe,1466.56
ID,2014,1,LA2_PROD,Globe,1466.56
ID,2014,1,LandRes,Globe,5962.0247
ID,2014,1,LF,Globe,1819.2057134025601
