TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
ID,2016,C1WDONP00,1,Globe,0.6411790695699999
ID,2016,CEMPLANT,1,Globe,5.0573317923
ID,2016,FERTPLANT,1,Globe,0.00020438602531399998
ID,2016,LA,1,Globe,2628.3351469500003
ID,2016,LA1,1,Globe,814.0494171
ID,2016,LA1_i,1,Globe,183.900001565
ID,2016,LA1_i_PROD,1,Globe,183.900001565
ID,2016,LA1_PROD,1,Globe,814.0494171
ID,2016,LA2,1,Globe,1630.3857512000002
ID,2016,LA2_PROD,1,Globe,1630.3857512000002
ID,2016,LandRes,1,Globe,6172.6515889
ID,2016,LF,1,Globe,1802.99074303
ID,2016,LF1,1,Globe,588.9155
ID,2016,LF2,1,Globe,1214.07524303
ID,2016,LF2_PROD,1,Globe,1214.07524303
ID,2016,LO,1,Globe,1741.3255156
ID,2016,MFOOFACTOR,1,Globe,2.9346943521599997
ID,2016,PAPPLANT,1,Globe,3.14360504505
ID,2016,PETAPLANT,1,Globe,4.7848495273000005e-06
ID,2016,PETBPLANT,1,Globe,21.8580964963
ID,2016,STEPLANT,1,Globe,13.594505695099999
ID,2016,VFOOFACTOR,1,Globe,35.041867773499995
ID,2016,XALUMINE,1,Globe,1.89624562703
ID,2016,XCEMMINE,1,Globe,21.716183443
ID,2016,XPHOMINE,1,Globe,6.540351178499999e-07
ID,2016,XPOTMINE,1,Globe,1.4307021497e-07
ID,2016,XSTEMINE,1,Globe,20.921060441
ID,2017,ALUPLANT,1,Globe,2.1428028234600003
ID,2017,C1BFRDF00,1,Globe,0.173672317534
ID,2017,C1BMBRFH1,1,Globe,5.5765889004
ID,2017,C1BMBRFN1,1,Globe,2.26052359466
ID,2017,C1BMCHP00,1,Globe,0.346437182736
ID,2017,C1BMHTF03,1,Globe,2.19216480407
ID,2017,C1BMLP000,1,Globe,1.8998694967899998
ID,2017,C1CO00I00,1,Globe,66.005278017
ID,2017,C1COBRFH1,1,Globe,4.5989282165
ID,2017,C1COCHP00,1,Globe,0.9399669296300001
ID,2017,C1COHTF03,1,Globe,17.910806717799996
ID,2017,C1COIGP00,1,Globe,0.04914002592
ID,2017,C1COSCP00,1,Globe,19.2384697368
ID,2017,C1ELEFF00,1,Globe,43.843103595399995
ID,2017,C1ELRLF00,1,Globe,3.2199999886499997
ID,2017,C1GOCVP00,1,Globe,0.119092298112
ID,2017,C1GOHTF03,1,Globe,3.6599401698399996
ID,2017,C1HFGCPCH,1,Globe,0.6253068114999999
ID,2017,C1HFMRF00,1,Globe,50.009696
ID,2017,C1HTOOTFI,1,Globe,45.1149791303
ID,2017,C1HTOOTFR,1,Globe,2.3045733741400003
ID,2017,C1HYDMP00,1,Globe,5.850553765899999
ID,2017,C1HYMIP00,1,Globe,0.445439882016
ID,2017,C1LFAVF00,1,Globe,0.35852808999999997
ID,2017,C1LFBRFH1,1,Globe,4.768027625799999
ID,2017,C1LFBRFN1,1,Globe,2.673795528
ID,2017,C1LFCCP00,1,Globe,0.9705155119199999
ID,2017,C1LFRDF00,1,Globe,10.4340180238
ID,2017,C1LFRLF00,1,Globe,3.570157
ID,2017,C1NG00I00,1,Globe,52.651332616999994
ID,2017,C1NGBRFH1,1,Globe,8.365042839000001
ID,2017,C1NGBRFN1,1,Globe,3.685501944
ID,2017,C1NGCCP00,1,Globe,8.6277866873
ID,2017,C1NGCCPCH,1,Globe,1.1314132760799998
ID,2017,C1NGGCPCH,1,Globe,1.12988204995
ID,2017,C1NGHTF03,1,Globe,11.0608418083
ID,2017,C1NU00I00,1,Globe,10.199900510099999
ID,2017,C1NULWP00,1,Globe,3.7063592228299993
ID,2017,C1OCCVP00,1,Globe,0.0019077892416000002
ID,2017,C1OI00I00,1,Globe,78.71320832
