TIMESLICE,YEAR,MODE_OF_OPERATION,REGION,TECHNOLOGY,VALUE
ID,2013,1,Globe,LA1_PROD,773.9827006305537
ID,2013,1,Globe,LA2,1600.0
ID,2013,1,Globe,LA2_PROD,1600.0
ID,2013,1,Globe,LandRes,6171.807617232588
ID,2013,1,Globe,LF,1830.0994166020355
ID,2013,1,Globe,LF1,588.9155
ID,2013,1,Globe,LF2,1241.1839166020354
ID,2013,1,Globe,LF2_PROD,1241.1839166020347
ID,2013,1,Globe,LO,1783.8254999999995
ID,2013,1,Globe,MFOOFACTOR,2.8418976916830996
ID,2013,1,Globe,PAPPLANT,3.0912844510975352
ID,2013,1,Globe,PETAPLANT,4.715058482540457e-06
ID,2013,1,Globe,PETBPLANT,20.16798826603108
ID,2013,1,Globe,STEPLANT,13.371253113500446
ID,2013,1,Globe,VFOOFACTOR,33.51941131692464
ID,2013,1,Globe,XALUMINE,1.7098279998530945
ID,2013,1,Globe,XCEMMINE,21.180450729920864
ID,2013,1,Globe,XPHOMINE,6.283710516136436e-07
ID,2013,1,Globe,XPOTMINE,1.374561675404845e-07
ID,2013,1,Globe,XSTEMINE,20.577489410224818
ID,2014,1,Globe,ALUPLANT,1.98724403372699
ID,2014,1,Globe,C1BFRDF00,0.20899886888469663
ID,2014,1,Globe,C1BMBRFH1,7.4427404320270725
ID,2014,1,Globe,C1BMCHP00,0.295090251768
ID,2014,1,Globe,C1BMHTF03,2.88769917024
ID,2014,1,Globe,C1BMLP000,2.3406130175583826
ID,2014,1,Globe,C1CO00I00,65.33446889000001
ID,2014,1,Globe,C1COBRFH1,7.33631681088
ID,2014,1,Globe,C1COCHP00,0.8178970613658442
ID,2014,1,Globe,C1COHTF03,24.21302512464001
ID,2014,1,Globe,C1COIGP00,0.010140558479999997
ID,2014,1,Globe,C1COSCP00,13.73500121751885
ID,2014,1,Globe,C1ELEFF00,39.4361820167629
ID,2014,1,Globe,C1GOCVP00,0.09639495590400002
ID,2014,1,Globe,C1GOHTF03,0.20812246272
ID,2014,1,Globe,C1HFGCPCH,1.0244656707818398
ID,2014,1,Globe,C1HFMRF00,42.6219
ID,2014,1,Globe,C1HTOOTFI,36.17487093381622
ID,2014,1,Globe,C1HTOOTFR,15.996364793894005
ID,2014,1,Globe,C1HYDMP00,5.383484990358912
ID,2014,1,Globe,C1HYMIP00,0.3789502247808
ID,2014,1,Globe,C1LFCCP00,0.249932316744864
ID,2014,1,Globe,C1LFRDF00,9.33263788
ID,2014,1,Globe,C1LFRLF00,3.3788285812308394
ID,2014,1,Globe,C1NG00I00,52.59533294
ID,2014,1,Globe,C1NGBRFN1,5.7893827779189255
ID,2014,1,Globe,C1NGCCP00,7.6717516277334115
ID,2014,1,Globe,C1NGCCPCH,1.0680627326308916
ID,2014,1,Globe,C1NGGCP00,2.8722767176344957
ID,2014,1,Globe,C1NGGCPCH,3.4864525470097387
ID,2014,1,Globe,C1NGHTF03,8.29888320096
ID,2014,1,Globe,C1NU00I00,3.601686005870376
ID,2014,1,Globe,C1NULWP00,1.30307019025701
ID,2014,1,Globe,C1OI00I00,77.88730589000002
ID,2014,1,Globe,C1OIHTF03,8.338660316908719
ID,2014,1,Globe,C1OIRFP00,48.559846449583375
ID,2014,2,Globe,C1OIRFP00,13.86999698194963
ID,2014,1,Globe,C1SOC1P00,0.00650382696
ID,2014,1,Globe,C1SOTHF00,0.6590544652799999
ID,2014,1,Globe,C1SOV1P00,0.293900713848
ID,2014,1,Globe,C1SOV2P00,0.22373164742399998
ID,2014,1,Globe,C1WDOFP00,0.00430119756288
ID,2014,1,Globe,C1WDONP00,0.51477356799936
ID,2014,1,Globe,CEMPLANT,5.0303883256268955
ID,2014,1,Globe,FERTPLANT,0.00019880235899244537
ID,2014,1,Globe,LA,2569.7676048411963
ID,2014,1,Globe,LA1,785.8676048411969
ID,2014,1,Globe,LA1_i,183.9
ID,2014,1,Globe,LA1_i_PROD,183.9
ID,2014,1,Globe,LA1_PROD,785.8676048411969
ID,2014,1,Globe,LA2,1600.0
ID,2014,1,Globe,LA2_PROD,1600.0
ID,2014,1,Globe,LandRes,6172.798818243756
ID,2014,1,Globe,LF,1819.2057134025592
ID,2014,1,Globe,LF1,607.4738587741273
ID,2014,1,Globe,LF2,1211.7318546284316
ID,2014,1,Globe,LF2_PROD,1211.7318546284316
ID,2014,1,Globe,LO,1783.8254999999997
ID,2014,1,Globe,MFOOFACTOR,2.8708966477206816
ID,2014,1,Globe,PAPPLANT,3.1089105147681333
ID,2014,1,Globe,PETAPLANT,4.733075439388942e-06
ID,2014,1,Globe,PETBPLANT,20.74677249208821
ID,2014,1,Globe,STEPLANT,13.202480406849597
ID,2014,1,Globe,VFOOFACTOR,34.0268967267191
ID,2014,1,Globe,XALUMINE,1.771886397791996
ID,2014,1,Globe,XCEMMINE,21.359028830611805
ID,2014,1,Globe,XPHOMINE,6.361675487758252e-07
ID,2014,1,Globe,XPOTMINE,1.3916165129471174e-07
ID,2014,1,Globe,XSTEMINE,20.31775918491509
ID,2015,1,Globe,ALUPLANT,2.0398771926921873
ID,2015,1,Globe,C1BFRDF00,0.17742641953478802
ID,2015,1,Globe,C1BMBRFH1,7.425482000352367
ID,2015,1,Globe,C1BMCHP00,0.285963749136
ID,2015,1,Globe,C1BMHTF03,2.52983652624
ID,2015,1,Globe,C1BMLP000,1.9716642996860416
ID,2015,1,Globe,C1CO00I00,65.33446889000001
ID,2015,1,Globe,C1COBRFH1,7.194677912640001
ID,2015,1,Globe,C1COCHP00,1.0565770408444801
ID,2015,1,Globe,C1COHTF03,25.095007832386845
ID,2015,1,Globe,C1COIGP00,0.010140558479999997
ID,2015,1,Globe,C1COSCP00,13.680232417256475
ID,2015,1,Globe,C1ELEFF00,40.45117972077494
ID,2015,1,Globe,C1GOCVP00,0.114467354496
ID,2015,1,Globe,C1GOHTF03,0.19800539855999996
ID,2015,1,Globe,C1HFGCPCH,1.3038186119343838
ID,2015,1,Globe,C1HFMRF00,43.40101
ID,2015,1,Globe,C1HTOOTFI,36.29455425428636
ID,2015,1,Globe,C1HTOOTFR,16.4879141558407
ID,2015,1,Globe,C1HYDMP00,5.6650717558152
ID,2015,1,Globe,C1HYMIP00,0.39092335914239995
ID,2015,1,Globe,C1LFCCP00,0.30608339345049596
ID,2015,1,Globe,C1LFRDF00,9.601980789999999
ID,2015,1,Globe,C1LFRLF00,2.5960398184079865
ID,2015,1,Globe,C1NG00I00,53.365964389999995
ID,2015,1,Globe,C1NGBRFN1,5.789382777918929
ID,2015,1,Globe,C1NGCCP00,9.784277658919011
ID,2015,1,Globe,C1NGCCPCH,1.0229695323748913
ID,2015,1,Globe,C1NGGCP00,1.583086553518573
ID,2015,1,Globe,C1NGGCPCH,3.4441776717697397
ID,2015,1,Globe,C1NGHTF03,7.87107591648
ID,2015,1,Globe,C1NU00I00,2.179861149449481
ID,2015,1,Globe,C1NULWP00,0.7898047642932902
ID,2015,1,Globe,C1OI00I00,78.1626067
ID,2015,1,Globe,C1OIHTF03,8.153467919879319
ID,2015,1,Globe,C1OIRFP00,51.350041925960994
ID,2015,2,Globe,C1OIRFP00,12.33017897818409
ID,2015,1,Globe,C1SOC1P00,0.00650382696
ID,2015,1,Globe,C1SOTHF00,0.7076163732479998
ID,2015,1,Globe,C1SOV1P00,0.28884218176800003
ID,2015,1,Globe,C1SOV2P00,0.22026293971199998
ID,2015,1,Globe,C1WDOFP00,0.004335884639999999
ID,2015,1,Globe,C1WDONP00,0.493640466264
ID,2015,1,Globe,CEMPLANT,5.0439346873623405
ID,2015,1,Globe,FERTPLANT,0.00020156776920049788
ID,2015,1,Globe,LA,2594.310523933171
ID,2015,1,Globe,LA1,799.3574107341356
ID,2015,1,Globe,LA1_i,183.9
ID,2015,1,Globe,LA1_i_PROD,183.9
ID,2015,1,Globe,LA1_PROD,799.3574107341357
